codigo_imovel,endereco,bairro,tipo_imovel,area_total,quartos,banheiros,vagas_garagem,ano_construcao,preco
8495,"Rua B, 79",Centro,Sobrado,105.92,3,2,0,2012,585780.05
4546,"Rua C, 86",Bairro Novo,Casa,96.8,5,2,2,1963,857589.52
4130,"Rua A, 2",Bairro Novo,Apartamento,217.8,1,3,0,1974,757496.32
1580,"Rua C, 70",Vila,Casa,149.1,3,2,1,1956,902012.64
3830,"Rua C, 55",Centro,Sobrado,116.82,3,3,2,1968,755745.34
8082,"Rua A, 22",Centro,Casa,70.11,4,1,0,1955,305591.54
8155,"Rua C, 65",Centro,Casa,97.82,2,2,2,1962,395197.26
1849,"Rua B, 97",Vila,Casa,234.13,5,3,2,1981,835056.31
7212,"Rua C, 74",Bairro Novo,Apartamento,205.97,5,3,2,1986,730514.93
8930,"Rua A, 5",Centro,Apartamento,76.03,4,1,1,2006,372738.63
7389,"Rua C, 40",Centro,Sobrado,100.87,4,3,2,2002,553702.99
4318,"Rua C, 99",Centro,Casa,214.88,3,3,2,2012,685682.5
9079,"Rua C, 95",Centro,Apartamento,278.73,3,1,1,2019,607885.07
5310,"Rua A, 19",Bairro Novo,Apartamento,239.11,3,3,2,1977,664250.8
7577,"Rua C, 2",Bairro Novo,Casa,276.06,2,1,1,1951,252230.81
7129,"Rua B, 6",Vila,Casa,98.62,4,3,1,2015,109552.81
4699,"Rua C, 92",Centro,Apartamento,107.46,3,3,0,1984,651941.14
3982,"Rua A, 78",Vila,Sobrado,287.3,4,1,0,1979,901132.14
2865,"Rua C, 53",Vila,Sobrado,222.58,2,1,1,2010,635286.48
9532,"Rua C, 86",Centro,Sobrado,111.51,1,1,1,2015,188810.1
8039,"Rua A, 85",Bairro Novo,Apartamento,150.69,5,1,1,2011,684061.48
1494,"Rua A, 51",Bairro Novo,Casa,295.76,1,1,2,1957,460255.96
2299,"Rua C, 63",Vila,Casa,176.65,3,2,1,1978,845032.51
3019,"Rua C, 57",Centro,Casa,165.4,3,1,1,1993,157112.21
