temperatura,vibracao,pressao,tempo_operacao,falha
84.32,3.26,30.84,200.0,0
80.01,3.01,29.49,161.0,0
64.18,3.62,37.64,147.0,0
74.94,3.07,28.51,116.0,0
79.35,4.68,31.59,182.0,0
69.96,,29.35,191.0,0
76.86,3.86,37.23,128.0,0
75.76,3.2,24.91,154.0,0
75.03,4.63,30.19,187.0,0
,2.84,31.39,62.0,0
78.03,4.09,33.6,155.0,0
83.42,3.18,34.3,64.0,0
68.24,2.65,30.92,108.0,0
136.33961691161917,8.003946665427968,36.95,171.0,0
76.6,2.78,33.57,144.0,0
142.95493078735421,10.999410162528727,44.34,132.0,1
67.04,3.19,24.46,137.0,0
75.95,3.78,35.1,188.0,0
85.39,4.01,26.77,182.0,1
67.44,3.37,28.01,115.0,0
61.16,,41.93,163.0,1
62.8,3.76,40.72,129.0,1
76.86,3.01,22.72,258.0,1
91.69,4.14,30.89,117.0,1
82.87,4.26,31.67,136.0,0
,3.68,21.34,134.0,1
75.69,,31.76,130.0,1
,4.33,33.97,156.0,0
73.1,3.4,33.09,162.0,0
79.29,3.17,22.03,77.0,0
69.96,,29.35,191.0,0
