temperatura,vibracao,pressao,tempo_operacao,falha
67.49,2.84,36.02,135.0,0
79.98,2.19,28.24,126.0,0
,3.13,37.64,149.0,0
64.96,3.8,34.23,171.0,0
70.53,3.64,57.0,320.0,1
83.91,3.39,26.66,136.0,0
59.44,5.07,28.07,173.0,1
71.43,3.69,26.15,162.0,0
81.6,4.09,39.35,162.0,1
68.8,4.97,31.66,125.0,1
69.93,2.49,35.6,110.0,0
73.43,,25.93,106.0,0
82.95,4.62,31.72,119.0,1
128.0,8.9,35.71,156.0,1
71.34,3.42,29.66,172.0,0
71.39,4.15,35.12,156.0,0
87.24,4.02,,126.0,1
87.12,4.63,25.55,208.0,1
80.02,,32.52,198.0,0
76.32,4.15,29.48,133.0,0
78.42,2.86,33.57,116.0,0
82.94,3.96,23.09,150.0,0
142.0,10.7,,189.0,1
81.05,,41.39,157.0,1
66.48,4.39,30.9,164.0,0
70.17,3.97,31.14,138.0,0
79.44,3.43,31.72,161.0,0
65.43,3.24,23.55,199.0,0
73.16,2.56,32.7,137.0,0
68.83,3.54,24.58,150.0,0
72.47,3.73,29.29,154.0,0
57.21,2.82,35.97,155.0,0
63.37,4.21,28.06,96.0,0
,2.63,33.0,79.0,0
79.56,1.91,35.05,109.0,0
72.96,4.13,32.11,151.0,0
74.02,3.12,25.52,164.0,0
,3.31,29.67,126.0,0
68.72,2.81,38.84,193.0,0
75.7,2.28,52.0,290.0,1
71.43,3.69,26.15,162.0,0
