temperatura,vibracao,pressao,tempo_operacao,falha
,3.79,25.62,180.0,0
73.89,3.95,29.6,113.0,0
80.18,4.37,,185.0,0
87.18,4.34,32.19,204.0,1
73.13,,30.2,167.0,0
172.80474525368749,11.256439285986026,34.49,225.0,1
87.63,3.91,,119.0,1
,3.91,31.43,100.0,0
71.24,3.91,,79.0,0
79.34,,34.06,210.0,1
71.29,3.96,34.85,176.0,0
,4.41,27.5,148.0,0
76.94,4.26,,161.0,0
59.69,4.02,37.11,105.0,0
61.2,3.25,33.33,248.0,1
70.5,4.11,29.01,155.0,0
66.9,2.88,38.2,154.0,0
77.51,3.31,32.46,179.0,0
67.74,,,169.0,0
133.59938413361928,11.730704505859347,32.27,159.0,0
86.73,5.35,40.24,118.0,1
,2.01,39.02,169.0,0
75.54,,31.0,225.0,1
63.6,2.21,35.89,204.0,0
70.64,3.12,34.58,214.0,0
75.89,4.37,37.47,130.0,0
65.79,3.55,28.14,110.0,0
78.01,,34.74,145.0,0
70.19,2.93,36.23,152.0,0
72.67,4.04,,194.0,0
70.19,2.92,27.27,82.0,0
89.82,3.67,23.84,211.0,1
74.89,3.54,30.92,144.0,0
66.54,2.98,34.87,133.0,0
81.58,5.22,38.01,110.0,1
65.23,4.01,32.3,84.0,0
76.67,1.88,38.51,183.0,0
59.32,3.65,26.48,153.0,0
64.37,2.97,25.19,98.0,0
76.57,4.18,31.78,98.0,0
124.0567538155329,14.958975528548173,33.54,137.0,0
76.37,3.41,31.87,217.0,0
74.07,3.9,23.73,140.0,0
,4.19,31.64,90.0,0
63.17,2.54,26.78,140.0,0
69.24,3.23,34.68,139.0,0
71.31,3.12,33.47,42.0,0
83.46,2.98,,148.0,0
77.75,4.91,29.94,141.0,1
60.9,3.82,27.76,178.0,0
77.59,2.49,31.75,224.0,1
71.92,4.23,35.82,195.0,0
,5.2,28.06,139.0,1
79.89,4.33,,106.0,0
83.25,,29.88,253.0,1
82.45,3.11,28.83,152.0,0
152.40071487627063,13.114553571674723,31.57,151.0,0
72.53,2.93,27.86,149.0,0
77.65,3.86,29.79,158.0,0
82.8,4.12,27.21,144.0,0
71.17,2.76,39.86,127.0,0
73.51,3.45,32.14,128.0,0
66.15,0.91,29.2,149.0,0
65.43,2.68,32.86,128.0,0
81.5,3.3,31.55,121.0,0
,2.5,31.12,154.0,1
